,dealer_card,dealer_hand,dealer_final_hand,payroll_0,hand_0,init_move_0,payroll_1,hand_1,init_move_1,payroll_2,hand_2,init_move_2,payroll_3,hand_3,init_move_3,hand_earnings_0,hand_result_0,hand_earnings_1,hand_result_1,hand_earnings_2,hand_result_2,hand_earnings_3,hand_result_3
414,2,12,20,570.0,H10,D,305.0,H13,S,120.0,H13,S,800.0,H8,H,20.0,W,-10.0,L,-10.0,L,-10.0,L
415,K,15,17,560.0,H14,H,315.0,H12,H,130.0,H10,H,790.0,H16,H,-10.0,L,10.0,W,10.0,W,-10.0,L
416,4,10,20,550.0,H17,S,305.0,H15,S,120.0,H14,S,770.0,H9,D,-10.0,L,-10.0,L,-10.0,L,-20.0,L
417,7,17,17,560.0,H13,H,295.0,H12,H,135.0,S21,BLACKJACK,760.0,S16,H,10.0,W,-10.0,L,15.0,W,-10.0,L
418,5,7,22,570.0,H20,S,305.0,H14,S,145.0,H16,S,770.0,H18,S,10.0,W,10.0,W,10.0,W,10.0,W
419,7,17,17,580.0,H18,S,295.0,H16,H,165.0,H11,D,760.0,H16,H,10.0,W,-10.0,L,20.0,W,-10.0,L
420,6,10,21,570.0,S20,S,285.0,H18,S,155.0,H13,S,775.0,S21,BLACKJACK,-10.0,L,-10.0,L,-10.0,L,15.0,W
421,K,13,21,560.0,H12,H,275.0,99,S,145.0,H9,H,765.0,H17,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
422,7,10,19,575.0,S21,BLACKJACK,265.0,H14,H,135.0,H15,H,755.0,H16,H,15.0,W,-10.0,L,-10.0,L,-10.0,L
423,2,6,23,590.0,S21,BLACKJACK,275.0,H13,S,145.0,H8,H,765.0,H12,H,15.0,W,10.0,W,10.0,W,10.0,W
424,9,19,19,570.0,H7,H,265.0,H8,H,135.0,H17,S,755.0,H14,H,-20.0,L,-10.0,L,-10.0,L,-10.0,L
425,9,15,24,580.0,H18,S,275.0,S19,S,145.0,H18,S,765.0,S14,H,10.0,W,10.0,W,10.0,W,10.0,W
426,8,12,17,580.0,H17,S,285.0,S14,H,155.0,H20,S,745.0,H6,H,0.0,P,10.0,W,10.0,W,-20.0,L
427,A,21,,570.0,H5,,275.0,H12,,145.0,H18,,735.0,H13,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
428,Q,15,25,560.0,H8,H,265.0,H15,H,155.0,H20,S,745.0,H18,S,-10.0,L,-10.0,L,10.0,W,10.0,W
429,9,19,19,560.0,H19,S,275.0,H15,H,145.0,H12,H,735.0,H15,H,0.0,P,10.0,W,-10.0,L,-10.0,L
430,T,17,17,550.0,H13,H,295.0,H11,D,155.0,H20,S,745.0,H20,S,-10.0,L,20.0,W,10.0,W,10.0,W
431,A,15,20,560.0,H16,H,295.0,H20,S,145.0,H14,H,735.0,H12,H,10.0,W,0.0,P,-10.0,L,-10.0,L
432,A,15,20,560.0,H20,S,305.0,H11,H,135.0,99,S,725.0,H9,H,0.0,P,10.0,W,-10.0,L,-10.0,L
433,T,21,,550.0,H15,,295.0,H11,,125.0,H13,,715.0,S18,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
434,3,13,18,540.0,S15,H,275.0,S17,D,165.0,22,P,715.0,H18,S,-10.0,L,-20.0,L,40.0,W,0.0,P
435,9,20,20,530.0,H17,S,275.0,H12,H,155.0,H9,H,695.0,H10,D,-10.0,L,0.0,P,-10.0,L,-20.0,L
436,J,15,25,540.0,S18,H,265.0,S18,H,175.0,H11,D,705.0,H18,S,10.0,W,-10.0,L,20.0,W,10.0,W
437,7,17,17,550.0,H12,H,255.0,H15,H,165.0,H14,H,715.0,H13,H,10.0,W,-10.0,L,-10.0,L,10.0,W
438,A,16,17,550.0,H13,H,265.0,H10,H,175.0,H20,S,705.0,H13,H,0.0,P,10.0,W,10.0,W,-10.0,L
439,2,12,21,530.0,H10,D,255.0,H15,S,165.0,H13,S,695.0,H14,S,-20.0,L,-10.0,L,-10.0,L,-10.0,L
440,Q,18,18,520.0,S14,H,265.0,H12,H,155.0,22,H,685.0,S18,H,-10.0,L,10.0,W,-10.0,L,-10.0,L
441,7,17,17,530.0,H13,H,275.0,H20,S,145.0,H15,H,695.0,H20,S,10.0,W,10.0,W,-10.0,L,10.0,W
442,8,18,18,520.0,H17,S,275.0,H18,S,135.0,H12,H,685.0,H13,H,-10.0,L,0.0,P,-10.0,L,-10.0,L
443,9,19,19,510.0,H18,S,275.0,H19,S,145.0,H15,H,700.0,S21,BLACKJACK,-10.0,L,0.0,P,10.0,W,15.0,W
444,K,20,20,500.0,AA,P,265.0,H8,H,135.0,H13,H,710.0,H7,H,-10.0,L,-10.0,L,-10.0,L,10.0,W
445,7,17,17,510.0,H18,S,275.0,H12,H,145.0,H12,H,720.0,H18,S,10.0,W,10.0,W,10.0,W,10.0,W
446,4,14,19,500.0,H16,S,265.0,H15,S,135.0,H6,H,730.0,H20,S,-10.0,L,-10.0,L,-10.0,L,10.0,W
447,7,9,19,510.0,H20,S,275.0,H20,S,145.0,H13,H,720.0,H18,S,10.0,W,10.0,W,10.0,W,-10.0,L
448,7,14,20,500.0,H12,H,255.0,H10,D,165.0,H11,D,710.0,S13,H,-10.0,L,-20.0,L,20.0,W,-10.0,L
449,J,12,22,510.0,H10,H,265.0,H18,S,185.0,H11,D,720.0,H12,H,10.0,W,10.0,W,20.0,W,10.0,W
450,9,13,25,500.0,H14,H,255.0,H15,H,195.0,S16,H,710.0,H5,H,-10.0,L,-10.0,L,10.0,W,-10.0,L
451,9,20,20,490.0,S16,H,245.0,H17,S,175.0,99,P,700.0,66,S,-10.0,L,-10.0,L,-20.0,L,-10.0,L
452,T,12,18,480.0,H14,H,255.0,H14,H,165.0,66,S,690.0,H16,H,-10.0,L,10.0,W,-10.0,L,-10.0,L
453,3,9,17,490.0,H20,S,275.0,H7,H,175.0,H20,S,680.0,H13,S,10.0,W,20.0,W,10.0,W,-10.0,L
454,7,9,19,500.0,44,H,265.0,H13,H,155.0,H11,D,695.0,S21,BLACKJACK,10.0,W,-10.0,L,-20.0,L,15.0,W
455,K,20,20,490.0,H16,H,255.0,H17,S,145.0,H12,H,685.0,H19,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
456,K,14,18,480.0,H16,H,265.0,H12,H,135.0,H14,H,695.0,H19,S,-10.0,L,10.0,W,-10.0,L,10.0,W
457,7,18,18,500.0,H10,D,255.0,H12,H,135.0,H7,H,715.0,H11,D,20.0,W,-10.0,L,0.0,P,20.0,W
458,Q,12,22,490.0,H13,H,265.0,H9,H,145.0,H17,S,725.0,TT,S,-10.0,L,10.0,W,10.0,W,10.0,W
459,3,8,17,480.0,H16,S,275.0,JJ,S,135.0,H13,S,715.0,H14,S,-10.0,L,10.0,W,-10.0,L,-10.0,L
460,5,14,24,490.0,H15,S,295.0,S17,D,145.0,H15,S,735.0,H11,D,10.0,W,20.0,W,10.0,W,20.0,W
461,J,20,20,470.0,H11,D,285.0,H14,H,135.0,H12,H,725.0,H19,S,-20.0,L,-10.0,L,-10.0,L,-10.0,L
462,J,17,17,480.0,H18,S,295.0,H20,S,145.0,H14,H,715.0,H13,H,10.0,W,10.0,W,10.0,W,-10.0,L
463,7,12,24,490.0,H8,H,305.0,H15,H,160.0,S21,BLACKJACK,730.0,S21,BLACKJACK,10.0,W,10.0,W,15.0,W,15.0,W
464,9,14,19,480.0,H13,H,285.0,H8,H,160.0,H15,H,720.0,H12,H,-10.0,L,-20.0,L,0.0,P,-10.0,L
465,A,21,,470.0,33,,275.0,H17,,150.0,H8,,710.0,S21,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
466,J,20,20,460.0,H8,H,265.0,H12,H,160.0,H14,H,710.0,S15,H,-10.0,L,-10.0,L,10.0,W,0.0,P
467,9,17,17,470.0,H18,S,275.0,H18,S,160.0,S17,H,710.0,S16,H,10.0,W,10.0,W,0.0,P,0.0,P
468,8,15,21,460.0,H14,H,265.0,H12,H,150.0,H18,S,700.0,H15,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
469,4,14,25,480.0,H9,D,285.0,S17,D,160.0,H12,S,710.0,TT,S,20.0,W,20.0,W,10.0,W,10.0,W
470,A,18,18,480.0,H18,S,295.0,H19,S,175.0,S21,BLACKJACK,700.0,H12,H,0.0,P,10.0,W,15.0,W,-10.0,L
471,8,13,19,470.0,H17,S,305.0,H12,H,165.0,H18,S,710.0,H9,H,-10.0,L,10.0,W,-10.0,L,10.0,W
472,7,12,24,460.0,H14,H,315.0,H20,S,155.0,H13,H,700.0,44,H,-10.0,L,10.0,W,-10.0,L,-10.0,L
473,7,17,17,470.0,S13,H,325.0,S15,H,145.0,H16,H,710.0,S15,H,10.0,W,10.0,W,-10.0,L,10.0,W
474,T,17,17,480.0,H20,S,335.0,H20,S,155.0,S17,H,720.0,H19,S,10.0,W,10.0,W,10.0,W,10.0,W
475,A,21,,470.0,H11,,325.0,H12,,145.0,KK,,710.0,H18,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
476,3,13,24,490.0,22,P,345.0,H10,D,155.0,H16,S,730.0,H10,D,20.0,W,20.0,W,10.0,W,20.0,W
477,4,7,21,480.0,H8,H,345.0,S18,D,145.0,H15,S,720.0,H13,S,-10.0,L,0.0,P,-10.0,L,-10.0,L
478,Q,18,18,490.0,JJ,S,335.0,S14,H,135.0,H16,H,710.0,H14,H,10.0,W,-10.0,L,-10.0,L,-10.0,L
479,6,12,20,480.0,H19,S,335.0,H20,S,135.0,H20,S,700.0,H12,S,-10.0,L,0.0,P,0.0,P,-10.0,L
480,3,13,21,470.0,H12,H,325.0,H20,S,125.0,H14,S,690.0,H15,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
481,9,19,19,460.0,H6,H,315.0,H14,H,115.0,H12,H,680.0,H18,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
482,J,19,19,460.0,H12,H,305.0,H12,H,105.0,S16,H,670.0,77,H,0.0,P,-10.0,L,-10.0,L,-10.0,L
483,T,18,18,470.0,AA,P,285.0,H11,D,120.0,S21,BLACKJACK,660.0,H16,H,10.0,W,-20.0,L,15.0,W,-10.0,L
484,J,20,20,460.0,H14,H,275.0,H13,H,110.0,H9,H,650.0,H16,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
485,J,14,24,470.0,H7,H,285.0,S19,S,120.0,H13,H,640.0,H15,H,10.0,W,10.0,W,10.0,W,-10.0,L
486,3,13,22,480.0,S20,S,305.0,H11,D,130.0,H15,S,650.0,H19,S,10.0,W,20.0,W,10.0,W,10.0,W
487,8,14,23,490.0,H20,S,315.0,QQ,S,120.0,H16,H,640.0,H14,H,10.0,W,10.0,W,-10.0,L,-10.0,L
488,7,16,20,490.0,S14,H,325.0,S17,H,110.0,H18,S,640.0,S15,H,0.0,P,10.0,W,-10.0,L,0.0,P
489,9,11,18,470.0,55,D,315.0,H17,S,100.0,66,S,650.0,H20,S,-20.0,L,-10.0,L,-10.0,L,10.0,W
490,4,6,23,480.0,H15,S,325.0,H14,S,115.0,S21,BLACKJACK,660.0,H13,S,10.0,W,10.0,W,15.0,W,10.0,W
491,Q,12,22,490.0,S14,H,335.0,H20,S,125.0,H19,S,670.0,H18,S,10.0,W,10.0,W,10.0,W,10.0,W
492,K,18,18,470.0,H6,H,325.0,33,H,135.0,H20,S,680.0,H20,S,-20.0,L,-10.0,L,10.0,W,10.0,W
493,5,10,21,460.0,H16,S,315.0,22,P,150.0,S21,BLACKJACK,670.0,H12,S,-10.0,L,-10.0,L,15.0,W,-10.0,L
494,K,15,23,450.0,H14,H,305.0,H15,H,160.0,S19,S,680.0,H18,S,-10.0,L,-10.0,L,10.0,W,10.0,W
495,J,20,20,450.0,QQ,S,285.0,H11,D,150.0,H10,H,670.0,H15,H,0.0,P,-20.0,L,-10.0,L,-10.0,L
496,K,13,17,440.0,H14,H,295.0,S16,H,140.0,H14,H,660.0,H14,H,-10.0,L,10.0,W,-10.0,L,-10.0,L
497,9,18,18,440.0,H18,S,285.0,H14,H,150.0,H19,S,650.0,H16,H,0.0,P,-10.0,L,10.0,W,-10.0,L
498,9,11,25,450.0,H14,H,295.0,S20,S,160.0,S13,H,670.0,H11,D,10.0,W,10.0,W,10.0,W,20.0,W
499,Q,16,17,465.0,S21,BLACKJACK,305.0,H13,H,150.0,H13,H,680.0,H19,S,15.0,W,10.0,W,-10.0,L,10.0,W
500,7,15,25,475.0,QQ,S,315.0,AA,P,140.0,22,P,690.0,H14,H,10.0,W,10.0,W,-10.0,L,10.0,W
