,dealer_card,dealer_hand,dealer_final_hand,payroll_0,hand_0,init_move_0,payroll_1,hand_1,init_move_1,payroll_2,hand_2,init_move_2,payroll_3,hand_3,init_move_3,hand_earnings_0,hand_result_0,hand_earnings_1,hand_result_1,hand_earnings_2,hand_result_2,hand_earnings_3,hand_result_3
271,A,20,20,615.0,H12,H,335.0,H16,H,370.0,H14,H,935.0,H12,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
272,A,14,19,605.0,H18,S,325.0,H18,S,360.0,33,H,935.0,H14,H,-10.0,L,-10.0,L,-10.0,L,0.0,P
273,A,21,,595.0,H11,,315.0,S19,,350.0,H20,,925.0,H19,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
274,K,20,20,595.0,TT,S,305.0,H8,H,340.0,H17,S,915.0,H19,S,0.0,P,-10.0,L,-10.0,L,-10.0,L
275,9,13,22,585.0,H12,H,320.0,S21,BLACKJACK,330.0,22,H,925.0,H13,H,-10.0,L,15.0,W,-10.0,L,10.0,W
276,5,15,25,595.0,H20,S,340.0,H10,D,340.0,H14,S,935.0,H14,S,10.0,W,20.0,W,10.0,W,10.0,W
277,7,12,23,605.0,H17,S,355.0,S21,BLACKJACK,350.0,H20,S,945.0,S20,S,10.0,W,15.0,W,10.0,W,10.0,W
278,3,13,22,620.0,S21,BLACKJACK,365.0,H16,S,360.0,H17,S,955.0,H13,S,15.0,W,10.0,W,10.0,W,10.0,W
279,7,11,21,610.0,H12,H,355.0,S18,S,350.0,66,S,945.0,H12,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
280,9,19,19,600.0,H12,H,365.0,H12,H,340.0,H16,H,935.0,S15,H,-10.0,L,10.0,W,-10.0,L,-10.0,L
281,A,14,23,610.0,H13,H,355.0,H13,H,330.0,H7,H,945.0,S17,H,10.0,W,-10.0,L,-10.0,L,10.0,W
282,J,21,,600.0,H12,,345.0,H20,,320.0,H11,,935.0,H14,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
283,K,21,,590.0,H9,,335.0,S20,,310.0,H7,,925.0,H16,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
284,8,18,18,580.0,H14,H,325.0,H12,H,310.0,H18,S,935.0,S19,S,-10.0,L,-10.0,L,0.0,P,10.0,W
285,5,14,22,590.0,H13,S,335.0,H15,S,320.0,H18,S,950.0,S21,BLACKJACK,10.0,W,10.0,W,10.0,W,15.0,W
286,A,16,19,600.0,H20,S,325.0,H14,H,330.0,H20,S,940.0,H17,S,10.0,W,-10.0,L,10.0,W,-10.0,L
287,T,13,25,610.0,H12,H,335.0,H18,S,340.0,H20,S,930.0,H13,H,10.0,W,10.0,W,10.0,W,-10.0,L
288,9,15,18,630.0,H11,D,325.0,S15,H,330.0,H5,H,920.0,H15,H,20.0,W,-10.0,L,-10.0,L,-10.0,L
289,6,13,18,630.0,H18,S,315.0,H13,S,340.0,H19,S,900.0,S17,D,0.0,P,-10.0,L,10.0,W,-20.0,L
290,5,13,23,640.0,S20,S,325.0,H12,S,360.0,H11,D,920.0,H11,D,10.0,W,10.0,W,20.0,W,20.0,W
291,6,16,20,630.0,H17,S,315.0,H12,S,350.0,H19,S,920.0,H20,S,-10.0,L,-10.0,L,-10.0,L,0.0,P
292,5,7,18,620.0,H14,S,325.0,S19,S,340.0,H12,S,910.0,H12,S,-10.0,L,10.0,W,-10.0,L,-10.0,L
293,Q,20,20,610.0,H13,H,325.0,H16,H,330.0,H15,H,900.0,H17,S,-10.0,L,0.0,P,-10.0,L,-10.0,L
294,3,11,20,590.0,H11,D,325.0,H20,S,310.0,H7,H,890.0,H19,S,-20.0,L,0.0,P,-20.0,L,-10.0,L
295,8,11,18,600.0,S13,H,325.0,H18,S,320.0,H9,H,880.0,H16,H,10.0,W,0.0,P,10.0,W,-10.0,L
296,5,11,21,580.0,S16,D,315.0,H8,H,310.0,H14,S,870.0,H18,S,-20.0,L,-10.0,L,-10.0,L,-10.0,L
297,K,20,20,570.0,H19,S,305.0,H17,S,310.0,S15,H,860.0,H17,S,-10.0,L,-10.0,L,0.0,P,-10.0,L
